name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
お茶の水小学校,35.69735834,139.7603058,0,0,0,0,
都立一橋高校,35.6946622,139.7811492,1,1,1,0,
スポーツセンター,35.68912646,139.7675435,1,1,1,1,自動ドア
九段小学校,35.690456,139.740402,1,1,1,1,
麹町小学校,35.68534413,139.739763,1,1,1,1,
番町小学校,35.68797468,139.7338004,0,0,0,0,
麹町中学校,35.68049367,139.7392463,1,1,1,1,
富士見みらい館,35.69723698,139.746433,1,1,1,1,
神田一橋中学校,35.6941386,139.7567712,1,1,1,1,
神田さくら館,35.69304104,139.7684903,1,1,1,1,
昌平童夢館,35.70127815,139.7698738,1,1,1,1,
アーツ千代田3331,35.70424084,139.7708116,1,1,1,1,自動ドア
ちよだパークサイドプラザ,35.69913662,139.7784272,1,1,1,1,
旧今川中学校,35.69167731,139.772728,0,0,0,0,
岩本町ほほえみプラザ,35.69434715,139.7781014,1,1,1,1,自動ドア
京橋区民館,35.676564,139.771358,1,1,0,1,自動ドア
泰明小学校,35.67236218,139.7614057,0,0,0,0,
中央小学校,35.67227065,139.7788612,1,1,1,1,オストメイト設備
明石小学校,35.66886598,139.7765556,1,1,1,1,オストメイト設備
京橋築地小学校,35.66800993,139.7711951,0,1,0,1,
明正小学校,35.67606031,139.7820718,1,1,1,1,オストメイト設備
銀座中学校,35.66545304,139.7647587,0,1,0,1,
京橋プラザ,35.67314536,139.7715908,1,1,1,1,自動ドア
京華スクエア,35.67487128,139.7758294,1,1,1,1,自動ドア
常盤小学校,35.68846361,139.7705493,0,1,0,0,
日本橋小学校,35.68468833,139.7816085,1,1,0,1,
有馬小学校,35.68328566,139.787998,1,1,0,1,
久松小学校,35.68904292,139.7843301,1,1,0,1,
阪本小学校,35.67975475,139.7764831,1,1,1,1,
日本橋中学校,35.69227162,139.7868678,0,0,0,0,
十思スクエア,35.69109549,139.7769257,1,1,1,1,自動ドア
佃島小学校,35.66862322,139.7847579,1,1,0,1,
佃中学校,35.66807529,139.7850859,1,1,0,1,
月島第一小学校,35.66065199,139.7800976,0,1,0,1,
月島第二小学校,35.66023493,139.775979,1,1,0,1,
月島第三小学校,35.65890134,139.7858242,1,1,0,1,
豊海小学校,35.653467,139.771393,1,1,1,1,
晴海中学校,35.65978,139.784455,1,1,0,1,
三田いきいきプラザ,35.648753,139.749744,1,1,1,1,自動ドア・オストメイト設備
笄小学校,35.65646498,139.7249105,0,0,0,0,
御成門小学校,35.66131311,139.7497892,1,1,0,1,
芝小学校,35.65093928,139.7500735,1,0,0,1,
港勤労福祉会館,35.647875,139.748524,0,1,1,1,オストメイト設備（だれでもトイレ内）
赤羽小学校,35.65320582,139.7423831,0,1,0,1,
御成門中学校,35.66159709,139.7504181,1,1,0,1,
生涯学習センター,35.66555782,139.7570774,1,1,1,1,玄関自動ドア
エコプラザ,35.658849,139.756888,1,1,1,1,自動ドア・ベビーベッド
福祉プラザさくら川,35.66118323,139.7537918,1,1,0,1,
神明子ども中高生プラザ・神明いきいきプラザ,35.658827,139.757554,1,1,1,1,自動ドア・オストメイト設備・授乳室
虎ノ門いきいきプラザ,35.667906,139.748713,1,1,1,1,自動ドア・オストメイト設備
麻布小学校,35.66194273,139.7385311,0,0,0,1,
旧飯倉小学校,35.658228,139.742603,0,0,0,0,
本村小学校,35.64980887,139.7299363,1,1,0,1,
東町小学校,35.6509159,139.7358738,1,0,0,0,
六本木中学校,35.66083969,139.7321867,1,1,1,1,
高陵中学校,35.656898,139.720394,1,1,1,1,オストメイト設備
南山小学校,35.65723705,139.7306589,0,0,0,1,
麻布区民センター,35.66068578,139.7350834,1,0,1,1,オストメイト設備
